timestamp,datetime_utc,xrp_spread,bch_spread
1609459200000,2021-01-01T00:00:00+00:00,19084.212551655764,-16244.389586265555
1609462800000,2021-01-01T01:00:00+00:00,19408.050153633558,-16961.21284554844
1609466400000,2021-01-01T02:00:00+00:00,19191.35015363356,-17766.380517419464
1609470000000,2021-01-01T03:00:00+00:00,19119.31282359655,-17216.772966007917
1609473600000,2021-01-01T04:00:00+00:00,18516.25626346966,-16900.43882823601
1609477200000,2021-01-01T05:00:00+00:00,18533.852643480233,-16954.046381022985
1609480800000,2021-01-01T06:00:00+00:00,18689.398887520416,-17033.289885351096
1609484400000,2021-01-01T07:00:00+00:00,18830.780787573283,-16738.982635775938
1609488000000,2021-01-01T08:00:00+00:00,18777.937891581747,-16293.455447118227
1609491600000,2021-01-01T09:00:00+00:00,18799.35237153945,-16392.790793611133
1609495200000,2021-01-01T10:00:00+00:00,18632.488299492925,-16914.347891580386
1609498800000,2021-01-01T11:00:00+00:00,18695.740109487637,-16830.073269219734
1609502400000,2021-01-01T12:00:00+00:00,18809.534543533104,-16697.738224563214
1609506000000,2021-01-01T13:00:00+00:00,18985.168525521476,-16630.658163645763
1609509600000,2021-01-01T14:00:00+00:00,18743.597213496098,-16730.49834502269
1609513200000,2021-01-01T15:00:00+00:00,18324.47965743054,-16517.297137677113
1609516800000,2021-01-01T16:00:00+00:00,18266.403051391415,-16388.79109544753
1609520400000,2021-01-01T17:00:00+00:00,18491.197213496096,-16181.044873216448
1609524000000,2021-01-01T18:00:00+00:00,18574.22924951936,-15794.755448493655
1609527600000,2021-01-01T19:00:00+00:00,18579.916715526764,-15705.047593870273
1609531200000,2021-01-01T20:00:00+00:00,18602.818661491867,-15758.636414920282
1609534800000,2021-01-01T21:00:00+00:00,18543.77047148658,-15743.646686985667
1609538400000,2021-01-01T22:00:00+00:00,18632.831195484465,-15772.882940363183
1609542000000,2021-01-01T23:00:00+00:00,18725.309747488696,-15960.707712954321
1609545600000,2021-01-02T00:00:00+00:00,18813.40056154474,-15391.153032427072
1609549200000,2021-01-02T01:00:00+00:00,18794.33648949821,-15722.49804593715
1609552800000,2021-01-02T02:00:00+00:00,18876.155991528878,-15423.049104427675
1609556400000,2021-01-02T03:00:00+00:00,18856.159611518306,-15619.687170198973
1609560000000,2021-01-02T04:00:00+00:00,18863.9596115183,-15645.021611182707
1609563600000,2021-01-02T05:00:00+00:00,19069.53286950879,-15780.930371315262
1609567200000,2021-01-02T06:00:00+00:00,19256.747077525702,-15878.61617125048
1609570800000,2021-01-02T07:00:00+00:00,19310.99526753099,-15653.211035905508
1609574400000,2021-01-02T08:00:00+00:00,19653.694995590206,-15319.592305543963
1609578000000,2021-01-02T09:00:00+00:00,19651.476895643074,-15143.702880821158
1609581600000,2021-01-02T10:00:00+00:00,19585.35739361241,-15696.503483118522
1609585200000,2021-01-02T11:00:00+00:00,19584.703909593376,-15712.13067315166
1609588800000,2021-01-02T12:00:00+00:00,20235.139837546853,-16313.66843296029
1609592400000,2021-01-02T13:00:00+00:00,21227.57549355954,-15409.32825158337
1609596000000,2021-01-02T14:00:00+00:00,21096.05571958809,-15376.572059123308
1609599600000,2021-01-02T15:00:00+00:00,21474.568253580685,-15246.426741025978
1609603200000,2021-01-02T16:00:00+00:00,22551.164361650477,-16073.835195195858
1609606800000,2021-01-02T17:00:00+00:00,22883.667981639905,-14943.820696045535
1609610400000,2021-01-02T18:00:00+00:00,23017.667981639905,-14677.282932110618
1609614000000,2021-01-02T19:00:00+00:00,23170.978569667393,-14874.774774275415
1609617600000,2021-01-02T20:00:00+00:00,20999.728433697,-15486.619794662642
1609621200000,2021-01-02T21:00:00+00:00,21670.90196362827,-14954.342149811764
1609624800000,2021-01-02T22:00:00+00:00,22277.100017663164,-14644.08444541887
1609628400000,2021-01-02T23:00:00+00:00,22322.008931666336,-14774.280517419465
1609632000000,2021-01-03T00:00:00+00:00,22705.489157694887,-15713.598036309155
1609635600000,2021-01-03T01:00:00+00:00,22787.48386368114,-15280.589578012994
1609639200000,2021-01-03T02:00:00+00:00,22795.99472364942,-14814.597434011797
